dataset_id,method_name,seed,model_scale,steps_completed,tokens_seen,valid_nll_nats_per_token,valid_loss,valid_log_ppl,valid_ppl,ppl_overflow,metric_for_comparison,training_manifest,evaluation_manifest,evidence_level
openwebtext_v2_100m,urd_fixed,42,small,489,1001472,11.14389867335558,11.14389867335558,11.14389867335558,69140.68862953002,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/urd_fixed/seed_42/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,urd_fixed,101,small,489,1001472,11.137895680963993,11.137895680963993,11.137895680963993,68726.88088676469,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/urd_fixed/seed_101/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,raw,13,small,489,1001472,11.188540551811457,11.188540551811457,11.188540551811457,72297.19074152972,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/raw/seed_13/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,raw,42,small,489,1001472,11.31338794901967,11.31338794901967,11.31338794901967,81910.94905653408,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/raw/seed_42/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,raw,101,small,489,1001472,11.249187860637903,11.249187860637903,11.249187860637903,76817.50790267735,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/raw/seed_101/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,exact_dedup,13,small,489,1001472,11.188540551811457,11.188540551811457,11.188540551811457,72297.19074152972,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/exact_dedup/seed_13/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,exact_dedup,42,small,489,1001472,11.31338794901967,11.31338794901967,11.31338794901967,81910.94905653408,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/exact_dedup/seed_42/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,exact_dedup,101,small,489,1001472,11.249187860637903,11.249187860637903,11.249187860637903,76817.50790267735,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/exact_dedup/seed_101/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,length_filter,13,small,489,1001472,11.260612975805998,11.260612975805998,11.260612975805998,77700.18954551632,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/length_filter/seed_13/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,length_filter,42,small,489,1001472,11.189011845737696,11.189011845737696,11.189011845737696,72331.27199892432,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/length_filter/seed_42/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,length_filter,101,small,489,1001472,11.276167068630457,11.276167068630457,11.276167068630457,78918.19342301672,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/length_filter/seed_101/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,urd_fixed,13,small,489,1001472,11.219223845750093,11.219223845750093,11.219223845750093,74549.89008037097,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/urd_fixed/seed_13/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,urd_fixed,42,small,489,1001472,11.345013588666916,11.345013588666916,11.345013588666916,84542.83336720949,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/urd_fixed/seed_42/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
c4_en_v2_100m,urd_fixed,101,small,489,1001472,11.183996681123972,11.183996681123972,11.183996681123972,71969.42687797612,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/c4_en_v2_100m/urd_fixed/seed_101/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
